Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n27,n120,Undirected,e600,,,1,1
n112,n120,Undirected,e601,,,1,1
n113,n120,Undirected,e602,,,1,1
n114,n120,Undirected,e603,,,1,1
n115,n120,Undirected,e604,,,1,1
n116,n120,Undirected,e605,,,1,1
n117,n120,Undirected,e606,,,1,1
n118,n120,Undirected,e607,,,1,1
n119,n120,Undirected,e608,,,1,1
n112,n119,Undirected,e609,,,1,1
n113,n119,Undirected,e610,,,1,1
n114,n119,Undirected,e611,,,1,1
n115,n119,Undirected,e612,,,1,1
n116,n119,Undirected,e613,,,1,1
n117,n119,Undirected,e614,,,1,1
n118,n119,Undirected,e615,,,1,1
n112,n118,Undirected,e616,,,1,1
n113,n118,Undirected,e617,,,1,1
n114,n118,Undirected,e618,,,1,1
n115,n118,Undirected,e619,,,1,1
n116,n118,Undirected,e620,,,1,1
n117,n118,Undirected,e621,,,1,1
n112,n117,Undirected,e622,,,1,1
n113,n117,Undirected,e623,,,1,1
n114,n117,Undirected,e624,,,1,1
n115,n117,Undirected,e625,,,1,1
n116,n117,Undirected,e626,,,1,1
n112,n116,Undirected,e627,,,1,1
n113,n116,Undirected,e628,,,1,1
n114,n116,Undirected,e629,,,1,1
n115,n116,Undirected,e630,,,1,1
n112,n115,Undirected,e631,,,1,1
n113,n115,Undirected,e632,,,1,1
n114,n115,Undirected,e633,,,1,1
n112,n114,Undirected,e634,,,1,1
n113,n114,Undirected,e635,,,1,1
n112,n113,Undirected,e636,,,1,1
n0,n122,Undirected,e637,,,1,1
n2,n122,Undirected,e638,,,1,1
n122,n123,Undirected,e639,,,1,1
n122,n112,Undirected,e640,,,1,1
n0,n112,Undirected,e641,,,1,1
n123,n112,Undirected,e642,,,1,1
n0,n123,Undirected,e643,,,1,1
n2,n123,Undirected,e644,,,1,1
n2,n124,Undirected,e645,,,1,1
n76,n124,Undirected,e646,,,1,1
n60,n125,Undirected,e647,,,7,7
n2,n125,Undirected,e648,,,6,6
n78,n125,Undirected,e649,,,7,7
n60,n126,Undirected,e650,,,2,2
n126,n2,Undirected,e651,,,1,1
n126,n127,Undirected,e652,,,1,1
n78,n126,Undirected,e653,,,2,2
n126,n128,Undirected,e654,,,1,1
n60,n128,Undirected,e655,,,1,1
n2,n128,Undirected,e656,,,1,1
n127,n128,Undirected,e657,,,1,1
n78,n128,Undirected,e658,,,1,1
n78,n127,Undirected,e659,,,1,1
n60,n127,Undirected,e660,,,1,1
n2,n127,Undirected,e661,,,1,1
n129,n130,Undirected,e662,,,1,1
n129,n131,Undirected,e663,,,1,1
n2,n129,Undirected,e664,,,1,1
n2,n130,Undirected,e665,,,1,1
n2,n131,Undirected,e666,,,1,1
n130,n131,Undirected,e667,,,1,1
n1,n132,Undirected,e668,,,1,1
n2,n132,Undirected,e669,,,1,1
n51,n132,Undirected,e670,,,1,1
n4,n132,Undirected,e671,,,1,1
n72,n132,Undirected,e672,,,1,1
n132,n133,Undirected,e673,,,1,1
n1,n133,Undirected,e674,,,1,1
n2,n133,Undirected,e675,,,1,1
n51,n133,Undirected,e676,,,1,1
n4,n133,Undirected,e677,,,1,1
n72,n133,Undirected,e678,,,1,1
n72,n51,Undirected,e679,,,1,1
n4,n51,Undirected,e680,,,2,2
n91,n135,Undirected,e681,,,2,2
n94,n135,Undirected,e682,,,2,2
n2,n135,Undirected,e683,,,2,2
n134,n135,Undirected,e684,,,2,2
n2,n136,Undirected,e685,,,1,1
n60,n137,Undirected,e686,,,1,1
n60,n138,Undirected,e687,,,1,1
n126,n137,Undirected,e688,,,1,1
n125,n126,Undirected,e689,,,1,1
n126,n138,Undirected,e690,,,1,1
